X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-8212800.26113682,5261115.10463126,1542885,Sai Energy Inc,553 Washington Ave,,Albany,NY,12206,2301,ALBANY,Convenience Store,42.66497,-73.77684,,,974
-8231128.23605949,4964598.40076031,1625136,Bergen Deli Market Corp.,125 Kingston Ave,,Brooklyn,NY,11213,1520,KINGS,Convenience Store,40.675522,-73.941483,,,978
-8125933.87760814,4986235.76222488,945297,7-Eleven #26676A,2725 Route 112,,Medford,NY,11763,2521,SUFFOLK,Convenience Store,40.822773,-72.996506,,,980
-8780253.48052585,5294634.43136288,1626128,Main St News Stand Llc,438 Main St,,Buffalo,NY,14202,    ,ERIE,Convenience Store,42.88599,-78.874359,,,1007
-8779270.86338062,5304030.91134636,1128099,Jerusalem Halal Market,1146 Hertel Ave,,Buffalo,NY,14216,2704,ERIE,Grocery Store,42.947807,-78.865532,,,1008
-8236319.95447111,4963410.29250337,1634700,Daily Dose Juice Bar,276 12th St,B,Brooklyn,NY,11215,8914,KINGS,Restaurant Meals Program,40.667427,-73.988121,,,1059
-8228100.45722941,4965666.72057171,1631068,All Natural Market & Deli,564 Bainbridge St,,Brooklyn,NY,11233,2004,KINGS,Convenience Store,40.6828,-73.914284,,,1060
-8236460.99626595,4965905.85347195,1632065,Ace Organic Deli Inc,194 Hoyt St,,Brooklyn,NY,11217,2599,KINGS,Convenience Store,40.684429,-73.989388,,,1061
-8222675.07920662,4993417.27313432,1631498,Barakah Bazar Llc,731 Burke Ave,,Bronx,NY,10467,6639,BRONX,Grocery Store,40.871574,-73.865547,,,1118
-8232139.68495284,4963878.32682687,1628664,Nostrand Mini Market Inc.,818A Nostrand Ave,,Brooklyn,NY,11216,4403,KINGS,Convenience Store,40.670616,-73.950569,,,1120
-8225885.4220016,4985512.47409552,1638251,Island Deli Grill 2 Inc.,860 Southern Blvd,,Bronx,NY,10459,5257,BRONX,Convenience Store,40.817856,-73.894386,,,1122
