street_address,zip_code,store_types,total_auth_count,deauth_count,address_history_years,churn_tier,store_names
16-09 PALMETTO ST,11385,Small Grocery Store,1,1,27.7,None,"PALMETTO GROCERY, CORP"
16-83 MADISON ST,11385,Convenience Store,1,1,22.1,None,BETTY AV FOOD CORP
16-Sep MAIN AVE,11102,Convenience Store,1,1,20.3,None,99 CENTS PRICE INC
160 Bedford Ave,11211,Medium Grocery Store,1,1,14.8,None,Blackcherry Deli Corp
1596 Nostrand Ave,11226,Convenience Store,1,1,16.7,None,99 & Discount Store
93 Featherbed Lane Suite,10452,Convenience Store,1,1,7.9,None,93 Deli Inc.
93 Halsey St,11216,Small Grocery Store,1,1,20.2,None,Taha Food Corp I
93 McClellan St,10452,Small Grocery Store,1,0,0.4,None,Ash Town African Market
927 Grand St,11211,Small Grocery Store,1,2,20.8,None,YENISSE GROCERY
927 Grand Street,11211,Convenience Store,1,1,10.7,None,D & J Grocery Corp.
927 Post Ave,10302,Convenience Store,1,1,7.2,None,Post Candy & Grocery Inc
927A E 169th St,10459,Convenience Store,1,1,11.9,None,169 Deli Grocery Corp
928 Broadway,11206,Convenience Store,1,1,13.8,None,Big Bay Deli 2010 Corp
93-07 63RD DR,11374,Convenience Store,1,1,27.1,None,A&D INTERNATIONAL FOOD CORP
93-08 101ST AVE,11364,Small Grocery Store,1,1,22.7,None,OZONE GROCERY
93-08 101st Ave,11416,Convenience Store,1,1,17.9,None,Sung Jin Group Inc.
93 35 Eldert Lane,11421,Convenience Store,1,1,10.1,None,Eldert Lane Grill Corp
93 Avenue A,10009,Convenience Store,1,1,2.2,None,My Deli 3 Corp
93 Clinton St,10002,Convenience Store,1,1,27.6,None,SANTO DOMINGO BAKERY AND COFFEE
93 Elizabeth St,10013,Combination Grocery/Other,1,0,15.2,None,Li's Herb Co. Inc
93 Featherbed Lane,10452,Fruits/Veg Specialty,1,1,15.2,None,65 Fruit Market
930A Southern Blvd,10459,Combination Grocery/Other,1,1,13.8,None,La Centrale
931 1st Ave,10022,Combination Grocery/Other,1,1,18.1,None,DUANE READE 14368
931 E 174th St,10460,Small Grocery Store,1,0,0.6,None,Pelle Meat & Produce Market 26-2426656
931 HOPKINSON AVE,11212,Small Grocery Store,1,1,23.6,None,"A. ORTIZ DELI-GROCERY, CORP."
931 Thomas Boyland St,11212,Convenience Store,1,1,12,None,Local Deli Inc
9303 3rd Ave,11209,Small Grocery Store,1,1,7.5,None,Tic-tac-toe Bakery & More Corp
9304 101st Ave,11416,Small Grocery Store,1,0,3.3,None,Ranczo Deli 1
"9305 37th Avenue,",11372,Small Grocery Store,1,1,9.1,None,Candy City Store Inc
101 Sherman Avenue,10034,Medium Grocery Store,1,1,13.9,None,Emilia's Grocery
9310 4th Ave,11209,Large Grocery Store,1,1,13,None,Kisma Corp DBA Metropolitan Citymarket
9310 Roosevelt Ave,11372,Combination Grocery/Other,1,0,2.7,None,El Gaucho Meat
9312 Astoria Blvd,11369,Combination Grocery/Other,1,0,15.5,None,Walgreens 04058
9312 Roosevelt Ave,11372,Combination Grocery/Other,1,1,2.1,None,Guardiola Pharmacy Inc
9313 37th Ave,11372,Medium Grocery Store,1,1,14.2,None,Jalin NY Inc. d/b/a Ms Amigos
9316 37th Ave,11372,Large Grocery Store,1,0,-0.4,None,Fruit Plaza 1
9308 Corona Ave,11373,Combination Grocery/Other,1,1,9.5,None,Marina Biscochos Dominicanos Corp
1591 E 233RD ST,10466,Convenience Store,1,1,22.3,None,"GAS, MILK, FOOD STORE INC"
1591 Westchester Ave,10472,Combination Grocery/Other,1,1,18.3,None,DUANE READE 347
15915 Horace Harding Expy,11365,Medium Grocery Store,1,0,4.4,None,Queens Natural Meats Inc.
155 W 162nd St,10452,Combination Grocery/Other,1,1,17.9,None,L.G. St. Carlos
155-02 107TH AVE,11433,Small Grocery Store,1,1,21.6,None,G & D FOOD MARKET
932 Madison St,11221,Small Grocery Store,1,1,16.9,None,World Links Grocery & Deli
932 Thomas S Boyland St,11212,Convenience Store,1,1,6.7,None,Break Time Deli Corp
101 SHERMAN AVE,10034,Small Grocery Store,1,1,33.8,None,JUAN'S GROCERY
1594 Pitkin Ave,11212,Small Grocery Store,1,1,13.6,None,Magic 99 Cents & Up Inc
1594 Saint Nicholas Ave,10040,Medium Grocery Store,1,1,23.3,None,"129 ANDY SUPERMARKET, INC"
1594 York Ave,10028,Convenience Store,1,0,12.2,None,Ruchika Enterprises Inc DBA/ 7 Eleven (33616B) 33616B
1590 Ralph Ave,11236,Convenience Store,1,2,6.3,None,Ralph Ave Dollar Inc
15901 Horace Harding Expy,11365,Supermarket,1,0,26.9,None,QUEENS HEALTH EMPORIUM
15903 Hillside Ave,11435,Small Grocery Store,1,1,12.2,None,Lazy Boy  Deli Corp
15904 Crossbay Blvd,11414,Convenience Store,1,0,14.1,None,Speedway 7878
1591 E 233 St,10466,Small Grocery Store,1,1,19.7,None,1591 Deli Grocery Corp
101-06 Northern Blvd.,11368,Fruits/Veg Specialty,1,1,10.8,None,Continental Food Farm Inc
101-15 43RD AVE,11368,Small Grocery Store,1,1,23.5,None,ALMINA HALAL MEAT AND GROCERIES
94 Graham Ave,11206,Combination Grocery/Other,1,1,15.4,None,Princesa Bakery & Restaurant Corp
94 Hester St,10002,Combination Grocery/Other,1,1,14.3,None,New Heng Yun Chicken Market Inc
94 Rivington St,10002,Small Grocery Store,1,1,18.6,None,Rivington Deli Corp
94-03 Roosevelt Ave,11372,Convenience Store,1,1,11.1,None,Mundo Bebe
94-11 ASTORIA BLVD,11369,Small Grocery Store,1,1,22.7,None,INTERNATIONAL DELI GROCERY INC
938 Southern Blvd,10459,Convenience Store,1,1,19.8,None,Bob's Dollar Mart LLC
1010 Longwood Ave,10459,Small Grocery Store,1,0,18.5,None,Mejia Mini Market Corp
1010 Rossville Ave,10309,Combination Grocery/Other,1,1,12.7,None,Duane Reade 14302
1010 Rutland Rd,11212,Small Grocery Store,1,1,15.6,None,Majestic African Amercian Market Inc
101 Smith St,11201,Convenience Store,1,0,-0.6,None,Yummy Picks Inc
101 W 109TH ST,10025,Medium Grocery Store,1,1,26,None,URENA'S GROCERY
101 W 115th St,10027,Convenience Store,1,1,15.4,None,Almuntaser Deli Corp
101 W 137th St,10030,Convenience Store,1,0,1.3,None,Ny City Grill Corp.
101-05 Lefferts Blvd,11419,Small Grocery Store,1,1,17.4,None,Lefferts Quick Stop Inc
10101 Queens Blvd,11375,Convenience Store,1,0,0.6,None,Bagel Spot
10106 43rd Ave,11368,Convenience Store,1,1,9.3,None,Todo Bebe Grocery Corp
10106 Astoria Blvd,11369,Convenience Store,1,1,1.9,None,The Store
10106 Northern Blvd,11368,Small Grocery Store,1,1,16.8,None,La Costena Grocery
1011 Avenue Z,11235,Meat/Poultry Specialty,1,1,21.5,None,O & Y INTERNATIONAL INC
101-21 Jamaica Ave,11418,Small Grocery Store,1,1,19.4,None,United Mini Market & Deli
1010 Bedford Ave,11205,Super Store,1,0,0.7,None,Skillmart LLC
1010 Beverley Rd,11218,Medium Grocery Store,1,0,15.5,None,MJP Deli & Grocery Inc
9305 Church Ave,11212,Bakery Specialty,1,1,14.1,None,Steve & Sons Bakery Inc
1011 Bedford Ave,11205,Convenience Store,1,0,3.1,None,Olives Leave Deli Corp
9321 Church Ave,11212,Convenience Store,1,1,27.9,None,K & M GROCERY & VARIETY STORE
9328 Whitney Ave,11373,Bakery Specialty,1,0,2.7,None,Nueva Nitin Bakery Inc
933 Amsterdam Ave,10025,Convenience Store,1,1,14.3,None,99 Cent & More Amsterdam Inc
933 E 174th St,10460,Convenience Store,1,1,10.7,None,Dollar R Us Of Bronx Inc
933 Herkimer St,11233,Food Buying Co-op,1,1,5.9,None,Lemontree Foods - Herkimer St
10101 35th Ave,11368,Convenience Store,1,1,23.1,None,Artie Food Center Corp
9413 5th Avenue,11209,Small Grocery Store,1,1,13.8,None,Alex International Food Inc
9403 Roosevelt Ave,11372,Convenience Store,1,1,13.5,None,Mundo Bebe  Inc.
9404 Astoria Blvd,11369,Medium Grocery Store,1,1,10.9,None,Quick Stop Grocery Inc
9406 63rd Dr,11374,Supermarket,1,0,37.5,None,Sun Hui Food Corp/C-Town
9408 Church Ave,11212,Combination Grocery/Other,1,1,32.8,None,HEBRON HEALTH FOOD STORE
9409 63rd Dr,11374,Medium Grocery Store,1,1,22.8,None,CRYSTAL INT'L DISCOUNT FOOD INC
941 8th Ave,10019,Convenience Store,1,0,1.7,None,Bread & Honey
941 Columbus Ave,10025,Convenience Store,1,0,7.9,None,Freshy's Deli & Grocery
936 E Tremont Ave,10460,Small Grocery Store,1,1,20.6,None,SANTA FRUIT MKT & GROCERY CORP
936 Morris Ave,10456,Convenience Store,1,1,4,None,Ramales Grill Deli Corp
941 INTERVALE AVE,10459,Small Grocery Store,1,1,20.4,None,MARIBEL GROCERY CORP
941 Intervale Ave,10459,Convenience Store,1,1,16.3,None,Intervale Meat Market & Grocery Inc
941 Southern Blvd,10459,Combination Grocery/Other,1,1,18.1,None,DUANE READE 14150
9411 Church Ave,11212,Convenience Store,1,1,14.1,None,Norman Alqaderi Dba Church Deli Grocery
9413 5 Ave,11209,Small Grocery Store,1,1,20.1,None,"EXCLUSIVE FOOD, INC 7182381065"
9413 5th Ave,11209,Convenience Store,1,1,8.6,None,Alex International Food
938 4th Ave,11232,Small Grocery Store,1,1,28.7,None,P.H. FRUIT VEGETABLE SUPERMARKET
938 Broadway,11221,Convenience Store,1,0,-0.6,None,Mj Market Deli And Juices Corp
938 E 163rd St,10459,Supermarket,1,1,22.2,None,GRO WIN FOOD CORP
938 Kings Hwy,11223,Medium Grocery Store,1,1,15.3,None,Dharma Naturals Inc/Organic Forever
938 Morris Ave,10456,Medium Grocery Store,1,4,11.2,None,Azur International Dist Inc/ Blessings Int'l Food
935 E 107th St,11236,Super Store,1,1,20.3,None,PINE TREE
935 E 163RD ST,10459,Small Grocery Store,1,1,20.5,None,RUIZ BROTHERS GROCERY CORP
936 E 169th St,10459,Convenience Store,1,1,22.2,None,ST. MICHAEL GROCERY CORP
938B 4th Ave,11232,Convenience Store,1,1,10.6,None,Th Fuit & Vegetable Market Inc
939 3rd Ave,10022,Combination Grocery/Other,1,0,14.4,None,Walgreens 14465
939 8 AVE,10019,Medium Grocery Store,1,1,32.3,None,J Y MARKET PLACE INC
939 E Tremont Ave,10460,Combination Grocery/Other,1,1,9,None,Family Dollar Store 11449
94 Elizabeth St,10013,Combination Grocery/Other,1,0,8.1,None,Happy Li Trading Inc
94 GRAHAM AVE,11206,Bakery Specialty,1,1,37.8,None,EL CAROUSEL BAKERY CORP
937 E 107th St,11236,Super Store,1,0,4.3,None,Food World Supermarket
937 Jennings St,10460,Small Grocery Store,1,2,19.8,None,Jennings Fruits & Vegetables Inc
1589 Thieriot Ave,10460,Small Grocery Store,1,1,19.2,None,M&M Mini Mart Inc
1589 Watson Ave,10472,Convenience Store,1,0,-0.7,None,Yammy Gourmet Deli Corp
159 9th Ave,10011,Seafood Specialty,1,1,3.9,None,"F Rozzo And Sons, Inc"
159 BALTIC ST,11201,Small Grocery Store,1,1,20.3,None,COBBLE HILL MINI-MART INC
159 Central Ave,11221,Convenience Store,1,1,13.3,None,Santurce Grocery Store
1584 86th Street,11228,Convenience Store,1,1,10.9,None,Dyker Heights Deli & Grocery Corp
1584 Dr Martin L King Jr Blvd,10453,Small Grocery Store,1,2,14.9,None,DKJJ Deli Food Corp.
1585 Flatbush Ave,11210,Convenience Store,1,2,15.9,None,W & Fam Deli Grocery Inc
1590 Gates Ave,11385,Super Store,1,0,23.5,None,Food Bazaar 23
1590 LEXINGTON AVE,10029,Small Grocery Store,1,1,36.4,None,ANGELES GROCERY STORE
159 Einstein Loop,10475,Convenience Store,1,1,11.7,None,M N Y Deli Corp
159 Essex St,10002,Medium Grocery Store,1,1,16.6,None,ES Wholesome Foods
159 N 3rd St,11211,Super Store,1,0,13.8,None,159 MP Corp/Food town
159 York St,11201,Small Grocery Store,1,1,14,None,Brooklyn Finest Deli Corp
159-08 Harlem River Drive,10039,Convenience Store,1,0,2.3,None,15908 Deli Gourmet Corp
159-10 Harlem River Dr,10039,Convenience Store,1,0,5.8,None,Rangel 99 Plus
94-20 SUTPHIN BLVD,11435,Small Grocery Store,1,2,34.1,None,TONY'S JAMAICA MARKET
94-64 Corona Ave,11373,Convenience Store,1,1,0.9,None,Ivilux Grocery Corp
940 Morris Ave,10456,Small Grocery Store,1,1,17.6,None,Discount Craze Inc
940 Southern Blvd,10459,Convenience Store,1,1,4.2,None,Burger Chimi Tropical
9401 37th  Ave,11372,Small Grocery Store,1,1,9.5,None,QQ  Shop
945 East 163rd Street,10459,Large Grocery Store,1,1,13.8,None,South Bronx Mini Market
159-8 Harlem River Dr,10039,Convenience Store,1,1,15,None,Rangel Food Center Corp
1590 Fulton St,11213,Convenience Store,1,1,18.6,None,1590 Food Deli Grocery Corp
9402 3rd Ave,11209,Convenience Store,1,1,23.7,None,GLORY FRUIT & VEGETABLE CORP.
9402 63rd Dr,11374,Medium Grocery Store,1,1,25.9,None,GOURMET BAZAAR LTD
9402 78th St,11416,Convenience Store,1,0,-0.9,None,9402 Bd Grill And Deli Corp
9402 Avenue L,11236,Convenience Store,1,1,20.8,None,CHOICE HOLDINGS INTERNATIONAL INC
9402 Liverpool St,11435,Meat/Poultry Specialty,1,0,49.2,None,F & D LIVE POULTRY CORP
94-12 Sutphin Blvd,11435,Convenience Store,1,0,1,None,Jfk Gourmet Deli Corp
94-16 JAMAICA AVE,11421,Small Grocery Store,1,1,21.1,None,WOODHAVEN FRIENDS CORP
94-20 Jamaica Ave,11421,Convenience Store,1,1,6.7,None,94th Deli & Grill
9420 Jamaica Ave,11421,Small Grocery Store,1,1,10.5,None,95 Deli & Grill Inc 1
948 BROADWAY,11221,Small Grocery Store,1,1,18.2,None,2006 STAR DELI & GROCERY CORP
949 E 163rd St,10459,Small Grocery Store,1,1,15.5,None,Five Star Delicious Deli Inc
949 OGDEN AVE,10452,Small Grocery Store,1,1,21.1,None,PASCUAL MEAT MARKET INC
949A Ogden Ave,10452,Convenience Store,1,1,1.3,None,Crunch & Munch Grocery Inc
94B Moore St,11206,Meat/Poultry Specialty,1,0,14,None,Graham Live Poultry Inc
95 14 Jamaica Ave,11421,Convenience Store,1,1,9.4,None,L & Y Deli & Grocery Inc
101 Edgecombe Ave,10030,Small Grocery Store,1,1,20,None,101 Edgecombe Deli Inc
9423 Lefferts Blvd,11419,Small Grocery Store,1,1,16.4,None,Punjab Farms Inc
9424 Roosevelt Ave,11372,Convenience Store,1,1,3.4,None,Manzanita Corp
9413 Fifth Ave,11209,Small Grocery Store,1,1,17.2,None,Area International Food Inc
9414 Corona Ave,11373,Small Grocery Store,1,1,35.7,None,LA TERCERA DE LA GALLEGA
9414 Jamaica Ave,11421,Small Grocery Store,1,1,12.2,None,Hetman Polish European Specialists Inc
9415 Church Ave,11212,Combination Grocery/Other,1,2,19.4,None,Discount Dream Llc
9419 Avenue L,11236,Small Grocery Store,1,1,15.6,None,Smally West Indian Food Market
9419 Roosevelt Ave,11372,Small Grocery Store,1,1,16.1,None,Pueblo Mini Grocery Inc
943 Mcdonald Ave,11218,Convenience Store,1,1,10.7,None,Chapimex Deli Corp
943 Westchester Ave,10459,Combination Grocery/Other,1,1,-0.2,None,Deli & Convenience
943A Broadway,11206,Small Grocery Store,1,1,17.2,None,Broadway Grocery Deli
944 4th Ave,11232,Convenience Store,1,0,-0.4,None,Habibi's Deli Juice Bar
944 E 174th St,10460,Medium Grocery Store,1,1,26.4,None,STOP ONE GROCERY
944 Intervale Ave,10459,Combination Grocery/Other,1,1,19,None,National NR Corp
945 4th Ave,11232,Convenience Store,1,1,25.1,None,VEGANO DELI AND GROCERY
9420 Sutphin Blvd,11435,Small Grocery Store,1,1,3.3,None,Tony's Jamaica Market 1
1585 Westchester Ave,10472,Super Store,1,0,25.8,None,FRANCO FOOD CORP/ASSOCIATED
1586 McDonald Ave,11230,Convenience Store,1,1,14.3,None,Shri Krishna Mini Mart Inc N/A
16 East 116 Street,10029,Convenience Store,1,1,12.9,None,Best Food And Deli Inc
16 Nevins St,11217,Convenience Store,1,1,12.9,None,Home Deal 99 Cents Inc
16 Stone Ave,11233,Small Grocery Store,1,1,30.8,None,R & J FOOD CENTER
945 Flatbush Ave,11226,Convenience Store,1,0,0,None,Feras Gourmet Deli Corp
1007 41st Ave,11101,Super Store,1,0,18.1,None,L.I.C. Market Corp
1007 Castleton Ave,10310,Convenience Store,1,1,20.2,None,El Tenampa Mexican Deli Rest Corp
95-14 63rd Drive,11374,Combination Grocery/Other,1,1,28.7,None,Rite Aid 4866
95-14 JAMAICA AVE,11421,Small Grocery Store,1,1,18.4,None,JOHN'S LUNCHEONETTE
95-15 Northern Blvd,11372,Small Grocery Store,1,1,17.6,None,Que Chula Mi Puebla Deli Grocery Corp.
95-47 Roosevelt Ave,11372,Small Grocery Store,1,1,10.8,None,"Mega Frutas & Mas, Corp."
950 ANDERSON AVE,10456,Medium Grocery Store,1,2,20.5,None,YANKEE DELI & GROCERY INC
950 Allerton Ave,10469,Convenience Store,1,1,14.3,None,PJP Convenience LLC
95 WALL ST,10005,Combination Grocery/Other,1,0,18.1,None,DUANE READE 14126
95 Water St,10304,Small Grocery Store,1,1,14.9,None,Water Street Deli
950 McDonald Ave,11218,Small Grocery Store,1,1,21.3,None,M.A.J. GROCERY
950 Southern Blvd,10459,Combination Grocery/Other,1,1,28.4,None,Rite Aid 3844
9500 Van Wyck Expy,11419,Convenience Store,1,1,13,None,TR Food Market Corp
9501 37th Ave,11372,Convenience Store,1,1,26.6,None,QUISQUEYA GROCERY
9501 57 Street,11373,Convenience Store,1,1,12.8,None,Kim's Food
9501 Church Ave,11212,Seafood Specialty,1,1,26.5,None,ANGELA 11 FISH MARKET
95-10 37th Ave,11372,Convenience Store,1,1,7.9,None,A-2-z Convenience Store Inc
95-13 JAMAICA AVE,11421,Convenience Store,1,1,30.5,None,MR BUSY MINIMART INC
101 E Broadway,10002,Combination Grocery/Other,1,1,13.9,None,Min Rong Supermarket Inc
1007 Rutland Rd,11212,Combination Grocery/Other,1,1,13.1,None,Rutland Candy Shop Inc
1007 Southern Blvd,10459,Convenience Store,1,1,2.3,None,Southern Boulevard Gourmet Deli And Smoke Shop Cor
1009 34th Ave,11106,Convenience Store,1,1,5.5,None,Lic Convenience Store Corp
1009 E 163rd St,10459,Convenience Store,1,1,12.3,None,Dollar Deal Discount
1009 Flatbush Ave,11226,Supermarket,1,1,26.3,None,Stop & Shop 506
1009 Flatbush Avenue,11226,Super Store,1,0,2,None,Food Bazaar
950 Anderson Avenue,10452,Medium Grocery Store,1,1,12.2,None,Nairelis & Amauris Grocery Corp
101 Liberty Street,10007,Super Store,1,1,3.6,None,Eataly Downtown
946 Kings Hwy,11223,Combination Grocery/Other,1,1,19.8,None,Walgreens 06982
947 Aldus St,10459,Small Grocery Store,1,1,22.6,None,JOEL'S DELI & GROCERY
947 Castle Hill Ave,10473,Medium Grocery Store,1,0,39.1,None,ITAL CORP INC
101 CLARK ST,11201,Supermarket,1,1,31.8,None,GRISTEDE'S 544
101 Dyckman St,10040,Small Grocery Store,1,1,28.2,None,101 Moronta Food Corp
101 E 188th St,10468,Fruits/Veg Specialty,1,1,12.1,None,Gladys Ruiz GC
101 E BROADWAY,10002,Small Grocery Store,1,1,33.4,None,KAM FOOK TRADING CO INC
1551 Sheridan Ave,10457,Convenience Store,1,1,18.5,None,MARIA PABLITO GROCERY CORP
1551 Sheridan Avenue,10457,Convenience Store,1,0,2.1,None,N & L Grocery Store Inc
1554 Paulding Ave,10462,Medium Grocery Store,1,0,41.1,None,Giordano Big G Inc
1554 Saint Nicholas Ave,10040,Convenience Store,1,1,26.1,None,C & C II NATUAL HEALTH FOOD INC
1555 3rd Ave,10128,Medium Grocery Store,1,1,12.7,None,Lotus Health Food Inc
155-15 Aguilar Avenue,11367,Combination Grocery/Other,1,0,6.7,None,All Madina Halal Meat Corp
155-27 Jamaica Ave,11432,Medium Grocery Store,1,1,19.5,None,Jamaica Food Center Inc
1550 3rd Ave,10128,Combination Grocery/Other,1,1,13.5,None,Duane Reade Pharmacy 14487
1555 Saint Nicholas Ave,10040,Small Grocery Store,1,1,19.4,None,Taveras Fruits And Vegetables
1555 Saint Nicholas Ave # 2,10040,Fruits/Veg Specialty,1,1,18.7,None,"Grocery, Fruit and Vegetable Sale"
1555 Watson Ave,10472,Small Grocery Store,1,1,13.9,None,El Paisano 2 Fruits & Vegetables Llc
1556 Saint Nicholas Ave,10040,Small Grocery Store,1,1,22.9,None,PAYAMPS MEATS & FRUIT MARKET
1580 York Avenue,10028,Seafood Specialty,1,0,4.7,None,Dorian's Seafood Market
1551 3rd Ave,10128,Super Store,1,0,10,None,Whole Foods Market 10518
1551 Richmond Ave,10314,Combination Grocery/Other,1,0,17.5,None,WALGREENS 06179
1551 SHERIDAN AVE,10457,Small Grocery Store,1,1,26.8,None,KIRSSIS GROCERY CORP
95 E 116th Street,10029,Small Grocery Store,1,1,11.2,None,"116 Park Deli, Inc"
95 E Houston St,10002,Super Store,1,0,17.8,None,Whole Foods Market 10236
95 Elizabeth St Frnt B,10013,Medium Grocery Store,1,1,26.1,None,TAI TUNG GROCERY CORP
95 Halsey St,11216,Small Grocery Store,1,0,4.9,None,Alive Herbals Ii Corp 1
9512 4th Ave,11209,Small Grocery Store,1,1,23.1,None,FOURTH AVE EXPRESS GROCERY & DELI
9512A 35th Ave,11372,Convenience Store,1,1,11.5,None,Top Deli Grocery Inc
15814 Crossbay Blvd,11414,Combination Grocery/Other,1,1,13.9,None,Cross Bay Chemist
1584 86th St,11228,Convenience Store,1,1,7.4,None,Sam Deli 1 Corp
95-00 VAN WYCK EXPWY,11419,Medium Grocery Store,1,1,31.8,None,95-00 MEAT & GROCERY INC
95-01 104TH ST,11416,Medium Grocery Store,1,1,24.1,None,VERAS GROCERY STORE
95-02 101st Ave,11416,Convenience Store,1,1,16.8,None,Hossain Newstand Grocery
95-03 101 Ave,11416,Convenience Store,1,0,0.1,None,101 J&A Deli Grocery Corp.
95-09 SUTPHIN BLVD,11435,Small Grocery Store,1,1,20.3,None,NEIGHBORHOOD GROCERY STORE
95-09 Sutphin Blvd,11435,Small Grocery Store,1,1,19.7,None,Damajagua Deli Grocery
95 Broadway,11249,Large Grocery Store,1,0,4.3,None,Marlow & Daughters
95 E 116th St,10029,Small Grocery Store,1,1,13.6,None,95 Park Del Corp
951 Ogden Ave,10452,Small Grocery Store,1,1,25.3,None,PASCUAL GROCERY
9501 Jamaica Ave,11421,Small Grocery Store,1,1,10.4,None,Maria Daily Shop Inc
9502 35th Ave,11372,Convenience Store,1,1,26.4,None,2007 Melanie Deli & Grocery Corp.
9502 Northern Blvd,11372,Medium Grocery Store,1,0,-0.6,None,Hispanoamericana Meat Market 2
9503 101st Ave,11416,Convenience Store,1,1,7.1,None,Travis Wood Grocery Grill & Deli Inc
9503 101st Avenue,11416,Convenience Store,1,1,2.6,None,"Moncion Deli Grocery, Corp."
9507 63rd Dr,11374,Medium Grocery Store,1,0,13.8,None,63 Super Mart Inc DBA Fresh Value  Marketplace
955 Manor Rd,10314,Combination Grocery/Other,1,0,16.9,None,Walgreens 09204
9511 Sutphin Blvd,11435,Convenience Store,1,0,1.4,None,Suthpin Deli Inc
9512 35th Ave,11372,Convenience Store,1,0,1.7,None,Top Deli 1 Grocery Inc
9508 Van Wyck Expy,11419,Convenience Store,1,2,26.6,None,CARIBBEAN MARKET
9509 Church Ave,11212,Convenience Store,1,1,15.9,None,"The Original Brucee's Patties, Inc."
950A Broadway,11221,Convenience Store,1,1,10.1,None,Broadway Deli Cious Corp
950B Broadway,11221,Convenience Store,1,1,7.6,None,Fresh City Deli And Grocery Corp
951 3RD AVE,11232,Medium Grocery Store,1,1,21.3,None,FOOD SUPERMARKET INC
951 Bay St,10305,Convenience Store,1,0,14.5,None,Speedway 7809
9515B Northern Blvd,11372,Small Grocery Store,1,1,14.2,None,La Economica Northern Blvd 95 Inc
9517 57th Ave,11373,Small Grocery Store,1,1,14.2,None,Penta Food LLC
951 Putnam Avenue,11221,Small Grocery Store,1,1,14.3,None,Neighborhood Deli Food Corp
951 Wyckoff Ave,11385,Convenience Store,1,0,-0.6,None,U Turn Organic Deli Corp
9510 4th Ave,11209,Convenience Store,1,0,0,None,Mikes Deli
9511 63rd Dr,11374,Combination Grocery/Other,1,0,18.3,None,Walgreens 14477
9511 Church Ave,11212,Medium Grocery Store,1,0,40.2,None,J & L QUALITY MEATS INC
9511 Rockaway Beach Blvd,11693,Small Grocery Store,1,1,15.3,None,SURFSIDE BAGELS
1550 Broadway,11221,Medium Grocery Store,1,1,9.2,None,Broadway Food Mart Inc.
1550 West Service Rd,10309,Small Grocery Store,1,1,11.9,None,AMF Petroleum Inc
15501 Jamaica Ave,11432,Convenience Store,1,1,13.4,None,Amigo On Jamaica Ave. Inc.
15502 107th Ave,11433,Convenience Store,1,0,-0.2,None,L & N Minimarket Inc.
159-16 Hillside Ave,11432,Small Grocery Store,1,1,16.6,None,Raj & Rose Inc
159-22 102ND ST,11414,Medium Grocery Store,1,1,26.5,None,BONO TOWN INC
159-35 Cross Bay Blvd,11414,Convenience Store,1,1,8.1,None,7 Eleven 37717H
9515 Northern Blvd,11372,Small Grocery Store,1,1,16.6,None,Doplar Associates Inc
957 Flatbush Ave,11226,Convenience Store,1,1,13.5,None,MH  & USA Deli Corp
957 Fulton St,11238,Convenience Store,1,1,6.8,None,Fresh To Go Deli Corp
958 Mcdonald Ave,11230,Small Grocery Store,1,1,10.6,None,La Gran Familia Ortiz Deli&Grocery Inc
959 4th Ave,11232,Combination Grocery/Other,1,1,12.4,None,Enjoy my Bagels
959 Jewett Ave,10314,Convenience Store,1,1,10.7,None,Jewett 959 Inc
1005 Manhattan Ave,11222,Small Grocery Store,1,1,19.6,None,El Encanto Mexicano Deli Meat Grocery
1005 Ogden Ave,10452,Small Grocery Store,1,1,38,None,NEIGHBOR FOOD CENTER
1006 INTERVALE AVE,10459,Convenience Store,1,1,26.7,None,RODRIGUEZ GROCERY STORE
953-75 Aldus St,10459,Small Grocery Store,1,1,19.7,None,Aldus Fruit & Meat Market
9530 Roosevelt Ave,11372,Convenience Store,1,1,14.3,None,"New York Food Market, Inc."
9519 Roosevelt Ave,11372,Supermarket,1,1,7.9,None,W & K Grocery Inc
952 Freeman St,10459,Combination Grocery/Other,1,0,0.8,None,Jk & Sons Global Market
952 Intervale Ave,10459,Meat/Poultry Specialty,1,1,17.7,None,Intervale Meat Market Lp
952 Manhattan Ave,11222,Large Grocery Store,1,1,25.1,None,POLAM INTERNATIONAL MEAT MKT INC
952 Myrtle Ave,11206,Super Store,1,1,26,None,952 MYRTLE FOOD CORP
952 Nostrand Ave,11225,Convenience Store,1,2,24.8,None,"AU PETIT MARCHE, INC"
954 McDonald Ave,11230,Small Grocery Store,1,1,16.9,None,International News Stand
954 PROSPECT AVENUE,10459,Small Grocery Store,1,1,25.5,None,"MORELBA GROCERY STORE INC.,"
9543 Roosevelt Ave,11372,Small Grocery Store,1,1,13.7,None,Nutri-Life Nutritional Center II Corp
954D Broadway,11221,Convenience Store,1,2,7.3,None,Myrtle Gourmet Deli Inc
953 Kings Hwy,11223,Convenience Store,1,0,15.2,None,7-Eleven #33680A
953 Manhattan Ave,11222,Super Store,1,0,34.2,None,953 MANHATTAN FOOD CORP
953 Pennsylvania Ave,11207,Convenience Store,1,0,11.2,None,Fairfield Pharmacy Inc
953 Westchester Ave,10459,Medium Grocery Store,1,1,12.2,None,Royal Food Market Corp
9552 Roosevelt Ave,11372,Convenience Store,1,1,13.6,None,Apex News & Grocery Corp.
