fns_record_id,store_name,store_type,street_address,city,borough,zip_code,county,state,latitude,longitude
1637876,174th Grand Foodmart Corp,Convenience Store,1645 Grand Ave,Bronx,Bronx,10453,BRONX,NY,40.847061,-73.91526
1635344,Fruit Bin Corp,Grocery Store,3488 Jerome Ave,Bronx,Bronx,10467,BRONX,NY,40.882313,-73.881439
1630643,Emdad Supermarket Grocery Inc/DBA:Emdad Sprmkt,Grocery Store,1206 Liberty Ave,Brooklyn,Brooklyn,11208,KINGS,NY,40.678902,-73.864639
1625136,Bergen Deli Market Corp.,Convenience Store,125 Kingston Ave,Brooklyn,Brooklyn,11213,KINGS,NY,40.675522,-73.941483
1631068,All Natural Market & Deli,Convenience Store,564 Bainbridge St,Brooklyn,Brooklyn,11233,KINGS,NY,40.6828,-73.914284
1632065,Ace Organic Deli Inc,Convenience Store,194 Hoyt St,Brooklyn,Brooklyn,11217,KINGS,NY,40.684429,-73.989388
1631498,Barakah Bazar Llc,Grocery Store,731 Burke Ave,Bronx,Bronx,10467,BRONX,NY,40.871574,-73.865547
1628664,Nostrand Mini Market Inc.,Convenience Store,818A Nostrand Ave,Brooklyn,Brooklyn,11216,KINGS,NY,40.670616,-73.950569
1638251,Island Deli Grill 2 Inc.,Convenience Store,860 Southern Blvd,Bronx,Bronx,10459,BRONX,NY,40.817856,-73.894386
1628902,Queen Deli Kitchen Inc,Convenience Store,3023 Church Ave,Brooklyn,Brooklyn,11226,KINGS,NY,40.650986,-73.948738
1640385,Best Farm Brooklyn Inc,Grocery Store,818 Flatbush Ave,Brooklyn,Brooklyn,11226,KINGS,NY,40.652683,-73.95945
1640377,Rincon Deli Grocery Corp,Convenience Store,2101 Cortelyou Rd,Brooklyn,Brooklyn,11226,KINGS,NY,40.643974,-73.958649
1384153,Soho #4 Way Deli Grocery Corp,Convenience Store,251 6th Ave,New York,Manhattan,10014,NEW YORK,NY,40.728748,-74.002708
1626911,Adam Deli Grocery Ii Corp.,Convenience Store,863 Flatbush Ave,Brooklyn,Brooklyn,11226,KINGS,NY,40.651108,-73.958725
1630356,125 Healthy Harvest And Organic Market Corp.,Convenience Store,205 W 125th St,New York,Manhattan,10027,NEW YORK,NY,40.809132,-73.94854
1640510,Clayton Deli Corp,Grocery Store,2175 Adam Clayton Powell Jr Blvd,New York,Manhattan,10027,NEW YORK,NY,40.811329,-73.946289
1632446,2526 Empire Food Discount Incorporated,Other,2526 Linden Blvd,Brooklyn,Brooklyn,11208,KINGS,NY,40.667114,-73.870461
1629033,El Molino Carniceria,Convenience Store,4204 Greenpoint Ave,Sunnyside,Queens,11104,QUEENS,NY,40.740444,-73.922768
1631795,Bob Marley Grocery Corp,Grocery Store,4063 Boston Rd,Bronx,Bronx,10466,BRONX,NY,40.885628,-73.829185
1632103,1975 In & Out Deli Corp,Convenience Store,19 W Tremont Ave,Bronx,Bronx,10453,BRONX,NY,40.852112,-73.910324
1636275,Abdo Grocery Corp,Other,16B E Gun Hill Rd,Bronx,Bronx,10467,BRONX,NY,40.882236,-73.880775
1421642,Taco Deli Spot Corp,Convenience Store,3411 36th Ave,Astoria,Queens,11106,QUEENS,NY,40.755363,-73.926521
1631078,601 E Fordham Petro Llc 601,Convenience Store,601 E Fordham Rd,Bronx,Bronx,10458,BRONX,NY,40.858658,-73.884689
1640908,C Jay Grocery Inc.,Convenience Store,2371 2nd Ave,New York,Manhattan,10035,NEW YORK,NY,40.800694,-73.935303
1628312,Organic Mini Market 1 Corp.,Convenience Store,203 E 121st St,New York,Manhattan,10035,NEW YORK,NY,40.801163,-73.937454
1625970,99› More or Less / Deals & Discounts,Grocery Store,115 Nagle Ave,New York,Manhattan,10040,NEW YORK,NY,40.860596,-73.92704
1625624,America Deli Mini Market Corp,Grocery Store,1663 Park Ave,New York,Manhattan,10035,NEW YORK,NY,40.80006,-73.94239
1634030,Easy Stop Shop,Convenience Store,1134 Castle Hill Ave,Bronx,Bronx,10462,BRONX,NY,40.83073,-73.850555
1630291,Nature Food Market Corp,Convenience Store,100 Cooper St,Brooklyn,Brooklyn,11207,KINGS,NY,40.686268,-73.908684
1393077,Aaa Plus Deli & Grill Inc,Convenience Store,10202 34th Ave,Corona,Queens,11368,QUEENS,NY,40.755573,-73.866081
1638057,Fresh And Fancy Corp,Other,285 Utica Ave,Brooklyn,Brooklyn,11213,KINGS,NY,40.668282,-73.931023
1627022,Tino's Deli Corp,Convenience Store,7120 Bay Pkwy,Brooklyn,Brooklyn,11204,KINGS,NY,40.610165,-73.985527
1625030,Zoe Deli Grocery Corp.,Convenience Store,481 Wales Ave,Bronx,Bronx,10455,BRONX,NY,40.81131,-73.907944
1633919,Intermex Produce Inc,Convenience Store,9818 37th Ave,Corona,Queens,11368,QUEENS,NY,40.752121,-73.868347
1630355,Organic Gourmet Deli And Grill Corporation 1,Convenience Store,3302 Church Ave,Brooklyn,Brooklyn,11203,KINGS,NY,40.650845,-73.946487
356116,RAGGUETTE & CHARLES INC,Grocery Store,5222 Church Ave,Brooklyn,Brooklyn,11203,KINGS,NY,40.65226,-73.92778
1388016,Olmeca Deli Grocery,Grocery Store,3229 Fulton St,Brooklyn,Brooklyn,11208,KINGS,NY,40.682594,-73.875946
